component_name,component_link,AMP_Molex_4pin_Connectors,ATX_4pin_Connectors,Color,EPS_8pin_Connectors,Efficiency_Rating,Fanless,Length,Manufacturer,Modular,PCIe_12pin_Connectors,PCIe_16pin_12VHPWR_Connectors,PCIe_62pin_Connectors,PCIe_6pin_Connectors,PCIe_8pin_Connectors,Part__,SATA_Connectors,Type,Wattage
Fsp Group Vita-1000Gm 1000 W 80+ Gold Certified Fully Modular Atx,https://pcpartpicker.com/product/VktLrH/fsp-group-vita-1000gm-1000-w-80-gold-certified-fully-modular-atx-power-supply-vita-1000gm,4,0,Black,2,80+ Gold,FALSE,140,Fsp Group,Full,0,1,4,0,0,VITA-1000GM,8,ATX,1000
Asus Rog Loki 1000 W 80+ Platinum Certified Fully Modular Sfx,https://pcpartpicker.com/product/tmYmP6/asus-loki-1000-w-80-platinum-certified-fully-modular-sfx-power-supply-90ye00n1-b0na00,4,0,Silver / Black,2,80+ Platinum,FALSE,125,Asus,Full,0,1,3,0,0,90YE00N1-B0NA00,6,SFX,1000
Apevia Prestige 600 W 80+ Gold Certified Atx,https://pcpartpicker.com/product/xLtKHx/apevia-prestige-600-w-80-gold-certified-atx-power-supply-atx-rp600w,4,0,Black,1,80+ Gold,FALSE,160,Apevia,No,0,0,2,0,0,ATX-RP600W,4,ATX,600
Enermax Revolution D.F. X 850 W 80+ Gold Certified Fully Modular Atx,https://pcpartpicker.com/product/LNyH99/enermax-revolution-df-x-850-w-80-gold-certified-fully-modular-atx-power-supply-ert850ewt,6,0,Black,2,80+ Gold,FALSE,140,Enermax,Full,0,2,4,0,0,ERT850EWT,12,ATX,850
Thermaltake Toughpower Gf3 Tt Premium 1000 W 80+ Gold Certified Fully Modular Atx,https://pcpartpicker.com/product/HXjBD3/thermaltake-toughpower-gf3-tt-premium-1000-w-80-gold-certified-fully-modular-atx-power-supply-ps-tpd-1000fnfagu-4,4,0,Black,2,80+ Gold,FALSE,160,Thermaltake,Full,0,1,4,0,0,PS-TPD-1000FNFAGU-4,12,ATX,1000
Asus Rog Strix 650 W 80+ Gold Certified Fully Modular Atx,https://pcpartpicker.com/product/DRVG3C/asus-rog-strix-650-w-80-gold-certified-fully-modular-atx-power-supply-rog-strix-650g,3,0,Black / Red,2,80+ Gold,FALSE,160,Asus,Full,0,0,4,0,0,ROG-STRIX-650G,8,ATX,650
Super Flower Leadex Vii Platinum Pro 850 W 80+ Platinum Certified Fully Modular Atx,https://pcpartpicker.com/product/QJXV3C/super-flower-leadex-vii-platinum-pro-850-w-80-platinum-certified-fully-modular-atx-power-supply-sf-850f14xp,4,0,Black,2,80+ Platinum,FALSE,150,Super Flower,Full,0,1,3,0,0,SF-850F14XP,12,ATX,850
Msi Mag A1250Gl Pcie5 1250 W 80+ Gold Certified Fully Modular Atx,https://pcpartpicker.com/product/qxdG3C/msi-mag-a1250gl-pcie5-1250-w-80-gold-certified-fully-modular-atx-power-supply-mag-a1250gl-pcie5,4,0,Black,2,80+ Gold,FALSE,150,Msi,Full,0,1,4,0,0,MAG A1250GL PCIE5,12,ATX,1250
Seasonic Focus Gx V4 Atx 3 (2024) 1000 W 80+ Gold Certified Fully Modular Atx,https://pcpartpicker.com/product/YkCZxr/seasonic-focus-gx-atx-30-v4-2024-1000-w-80-gold-certified-fully-modular-atx-power-supply-focus-gx-1000-v4,3,0,Black,2,80+ Gold,FALSE,140,Seasonic,Full,0,1,3,0,0,FOCUS-GX-1000-V4,8,ATX,1000
Adata Xpg Pylon 650 W 80+ Bronze Certified Atx,https://pcpartpicker.com/product/LWYQzy/adata-xpg-pylon-650-w-80-bronze-certified-atx-power-supply-pylon650b-bkcus,1,0,Black,1,80+ Bronze,FALSE,140,Adata,No,0,0,4,0,0,PYLON650B-BKCUS,8,ATX,650
Rosewill Cmg1000G5 1000 W 80+ Gold Certified Fully Modular Atx,https://pcpartpicker.com/product/9LsV3C/rosewill-cmg1000g5-1000-w-80-gold-certified-fully-modular-atx-power-supply-cmg1000g5,4,0,Black,2,80+ Gold,FALSE,140,Rosewill,Full,0,1,4,0,0,CMG1000G5,8,ATX,1000
Super Flower Leadex Platinum 850 W 80+ Platinum Certified Fully Modular Atx,https://pcpartpicker.com/product/mW4Ycf/super-flower-leadex-platinum-850-w-80-platinum-certified-fully-modular-atx-power-supply-sf-850f14mp,5,0,Black,2,80+ Platinum,FALSE,165,Super Flower,Full,0,0,4,0,0,SF-850F14MP,10,ATX,850
Be Quiet! Pure Power 12 M 850 W 80+ Gold Certified Fully Modular Atx,https://pcpartpicker.com/product/4XsV3C/be-quiet-pure-power-12-m-850-w-80-gold-certified-fully-modular-atx-power-supply-bn505,2,0,Black,2,80+ Gold,FALSE,160,Be Quiet!,Full,0,1,4,0,0,BN505,6,ATX,850
Seasonic Vertex Gx-1000 1000 W 80+ Gold Certified Fully Modular Atx,https://pcpartpicker.com/product/RqYmP6/seasonic-vertex-gx-1000-1000-w-80-gold-certified-fully-modular-atx-power-supply-vertex-gx-1000,3,0,Black / Silver,2,80+ Gold,FALSE,160,Seasonic,Full,0,1,3,0,0,VERTEX GX-1000,18,ATX,1000
Be Quiet! Pure Power 12 M 1000 W 80+ Gold Certified Fully Modular Atx,https://pcpartpicker.com/product/fKHqqs/be-quiet-pure-power-12-m-1000-w-80-gold-certified-fully-modular-atx-power-supply-bn506,2,0,Black,2,80+ Gold,FALSE,160,Be Quiet!,Full,0,1,4,0,0,BN506,6,ATX,1000
Seasonic Focus Gx 750 W 80+ Gold Certified Fully Modular Atx,https://pcpartpicker.com/product/97848d/seasonic-focus-gx-750-w-80-gold-certified-fully-modular-atx-power-supply-focus-gx-750,3,0,Black,2,80+ Gold,FALSE,140,Seasonic,Full,0,0,4,0,0,FOCUS-GX-750,10,ATX,750
Lian Li Edge 1000 W 80+ Platinum Certified Fully Modular Atx,https://pcpartpicker.com/product/ZCHqqs/lian-li-edge-1000-w-80-platinum-certified-fully-modular-atx-power-supply-eg1000,4,0,Black,2,80+ Platinum,FALSE,182,Lian Li,Full,0,1,4,0,0,EG1000,12,ATX,1000
Thermaltake Toughpower Gf1 (2024) 850 W 80+ Gold Certified Fully Modular Atx,https://pcpartpicker.com/product/kVyH99/thermaltake-toughpower-gf1-2024-850-w-80-gold-certified-fully-modular-atx-power-supply-ps-tpd-0850fnfagu-p,4,0,Black,2,80+ Gold,FALSE,140,Thermaltake,Full,0,0,6,0,0,PS-TPD-0850FNFAGU-P,8,ATX,850
Super Flower Leadex V Pro 1000 W 80+ Platinum Certified Fully Modular Atx,https://pcpartpicker.com/product/r9BG3C/super-flower-leadex-v-pro-1000-w-80-platinum-certified-fully-modular-atx-power-supply-sf-1000f14tp-wt,4,0,White,2,80+ Platinum,FALSE,130,Super Flower,Full,0,0,8,0,0,SF-1000F14TP-WT,12,ATX,1000
Be Quiet! System Power 9 600 W 80+ Bronze Certified Atx,https://pcpartpicker.com/product/Wkprxr/be-quiet-system-power-9-600-w-80-bronze-certified-atx-power-supply-bn247,2,0,Black,1,80+ Bronze,FALSE,140,Be Quiet!,No,0,0,4,0,0,BN247,6,ATX,600
Corsair Cx (2023) 550 W 80+ Bronze Certified Atx,https://pcpartpicker.com/product/f2fxFT/corsair-cx-2023-550-w-80-bronze-certified-atx-power-supply-cp-9020277-na,2,0,Black,1,80+ Bronze,FALSE,125,Corsair,No,0,0,2,0,0,CP-9020277-NA,3,ATX,550
Gigabyte Ud-Gm Pg5 850 W 80+ Gold Certified Fully Modular Atx,https://pcpartpicker.com/product/4LHqqs/gigabyte-ud-gm-pg5-850-w-80-gold-certified-fully-modular-atx-power-supply-gp-ud850gm-pg5w,3,0,White,2,80+ Gold,FALSE,140,Gigabyte,Full,0,1,4,0,0,GP-UD850GM PG5W,8,ATX,850
Be Quiet! Pure Power 12 M 750 W 80+ Gold Certified Fully Modular Atx,https://pcpartpicker.com/product/Yp9wrH/be-quiet-pure-power-12-m-750-w-80-gold-certified-fully-modular-atx-power-supply-bn504,2,0,Black,2,80+ Gold,FALSE,160,Be Quiet!,Full,0,1,2,0,0,BN504,5,ATX,750
Lian Li Edge Gold 850 W 80+ Gold Certified Fully Modular Atx,https://pcpartpicker.com/product/XTBFf7/lian-li-edge-gold-850-w-80-gold-certified-fully-modular-atx-power-supply-eg0850g-black,6,0,Black,2,80+ Gold,FALSE,182,Lian Li,Full,0,1,5,0,0,EG0850G Black,10,ATX,850
Asus Rog Strix 1000 W 80+ Platinum Certified Fully Modular Atx,https://pcpartpicker.com/product/kHBFf7/asus-rog-strix-1000-w-80-platinum-certified-fully-modular-atx-power-supply-90ye00w1-b0na00,3,0,Black,2,80+ Platinum,FALSE,150,Asus,Full,0,1,4,0,0,90YE00W1-B0NA00,6,ATX,1000
Silverstone Strider Platinum S 1000 W 80+ Platinum Certified Fully Modular Atx,https://pcpartpicker.com/product/QGrmP6/silverstone-strider-platinum-s-1000-w-80-platinum-certified-fully-modular-atx-power-supply-sst-st1000-pts,6,0,Black,2,80+ Platinum,FALSE,140,Silverstone,Full,0,0,8,0,0,SST-ST1000-PTS,8,ATX,1000
Enermax Revolution D.F. X 1200 W 80+ Gold Certified Fully Modular Atx,https://pcpartpicker.com/product/DDzXsY/enermax-revolution-df-x-1200-w-80-gold-certified-fully-modular-atx-power-supply-ert1200ewt,6,0,Black,2,80+ Gold,FALSE,140,Enermax,Full,0,2,5,0,0,ERT1200EWT,12,ATX,1200
Asus Rog Loki 850 W 80+ Platinum Certified Fully Modular Sfx,https://pcpartpicker.com/product/FZstt6/asus-rog-loki-850-w-80-platinum-certified-fully-modular-sfx-power-supply-90ye00n3-b0na00,4,0,Black / Silver,2,80+ Platinum,FALSE,125,Asus,Full,0,1,3,0,0,90YE00N3-B0NA00,6,SFX,850
Thermaltake Toughpower Gf A3 - Tt Premium Edition 1200 W 80+ Gold Certified Fully Modular Atx,https://pcpartpicker.com/product/ffvD4D/thermaltake-toughpower-gf-a3-1200-w-80-gold-certified-fully-modular-atx-power-supply-ps-tpd-1200fnfagu-l,4,0,Black,2,80+ Gold,FALSE,140,Thermaltake,Full,0,1,5,0,0,PS-TPD-1200FNFAGU-L,12,ATX,1200
Thermaltake Toughpower Gf A3 - Tt Premium Edition 750 W 80+ Gold Certified Fully Modular Atx,https://pcpartpicker.com/product/9GLdnQ/thermaltake-toughpower-gf-a3-750-w-80-gold-certified-fully-modular-atx-power-supply-ps-tpd-0750fnfagu-l,4,0,Black,2,80+ Gold,FALSE,140,Thermaltake,Full,0,1,4,0,0,PS-TPD-0750FNFAGU-L,8,ATX,750
Silverstone Sfx 500 W 80+ Gold Certified Fully Modular Sfx,https://pcpartpicker.com/product/vrH48d/silverstone-sfx-500-w-80-gold-certified-fully-modular-sfx-power-supply-sst-sx500-lg,2,0,Black,1,80+ Gold,FALSE,130,Silverstone,Full,0,0,2,0,0,SST-SX500-LG,3,SFX,500
Segotep Gm 850 W 80+ Gold Certified Fully Modular Atx,https://pcpartpicker.com/product/zGcgXL/segotep-gm-850-w-80-gold-certified-fully-modular-atx-power-supply-cp-psu-st-gm850,3,0,Black,2,80+ Gold,FALSE,140,Segotep,Full,0,1,4,0,0,CP-PSU-ST-GM850,8,ATX,850
Adata Xpg Cybercore 1300 W 80+ Platinum Certified Fully Modular Atx,https://pcpartpicker.com/product/2BBG3C/adata-xpg-cybercore-1300-w-80-platinum-certified-fully-modular-atx-power-supply-cybercore1300-bkcus,8,0,Black / Silver,2,80+ Platinum,FALSE,160,Adata,Full,0,0,10,0,0,CYBERCORE1300P-BKCUS,16,ATX,1300
Enermax Marblebron Rgb 850 W 80+ Bronze Certified Semi-Modular Atx,https://pcpartpicker.com/product/KMgFf7/enermax-marblebron-rgb-850-w-80-bronze-certified-semi-modular-atx-power-supply-emb850ewt-w-rgb,4,0,White,2,80+ Bronze,FALSE,140,Enermax,Semi,0,0,4,0,0,EMB850EWT-W-RGB,8,ATX,850
Seasonic M12Ii 620 W 80+ Bronze Certified Fully Modular Atx,https://pcpartpicker.com/product/Tc3RsY/seasonic-power-supply-ss620gm2,5,0,Black,1,80+ Bronze,FALSE,160,Seasonic,Full,0,0,4,0,0,SS-620GM2,8,ATX,620
Be Quiet! Dark Power 13 1000 W 80+ Titanium Certified Fully Modular Atx,https://pcpartpicker.com/product/Yqqrxr/be-quiet-dark-power-13-1000-w-80-titanium-certified-fully-modular-atx-power-supply-bn661,3,0,Black,2,80+ Titanium,FALSE,175,Be Quiet!,Full,0,1,4,0,0,BN661,13,ATX,1000
Cooler Master Mwe Bronze V2 650 W 80+ Bronze Certified Atx,https://pcpartpicker.com/product/qJpmP6/cooler-master-mwe-bronze-v2-650-w-80-bronze-certified-atx-power-supply-mpe-6501-acaab-us,4,0,Black,2,80+ Bronze,FALSE,140,Cooler Master,No,0,0,4,0,0,MPE-6501-ACAAB-US,8,ATX,650
Super Flower Leadex V Platinum Pro 1000 W 80+ Platinum Certified Fully Modular Atx,https://pcpartpicker.com/product/vwLFf7/super-flower-leadex-v-platinum-pro-1000-w-80-platinum-certified-fully-modular-atx-power-supply-sf-1000f14tp,4,0,White,2,80+ Platinum,FALSE,130,Super Flower,Full,0,0,4,0,0,SF-1000F14TP,12,ATX,1000
Be Quiet! Pure Power 11 Cm 500 W 80+ Gold Certified Semi-Modular Atx,https://pcpartpicker.com/product/qpvbt6/be-quiet-pure-power-11-cm-500-w-80-gold-certified-semi-modular-atx-power-supply-bn297,3,0,Black,1,80+ Gold,FALSE,160,Be Quiet!,Semi,0,0,2,0,0,BN297,6,ATX,500
Adata Xpg Core Reactor Ii 1000 W 80+ Gold Certified Fully Modular Atx,https://pcpartpicker.com/product/TnCZxr/adata-xpg-core-reactor-ii-1000-w-80-gold-certified-fully-modular-atx-power-supply-corereactorii1000g-bkcus,3,0,Black,2,80+ Gold,FALSE,160,Adata,Full,0,1,8,0,0,COREREACTORII1000G-BKCUS,9,ATX,1000
Rosewill Pmg550 550 W 80+ Gold Certified Fully Modular Atx,https://pcpartpicker.com/product/JxqPxr/rosewill-pmg550-550-w-80-gold-certified-fully-modular-atx-power-supply-pmg550,3,0,Black,1,80+ Gold,FALSE,165,Rosewill,Full,0,0,2,0,0,PMG550,6,ATX,550
Seasonic Focus Sgx (2021) 750 W 80+ Gold Certified Fully Modular Sfx,https://pcpartpicker.com/product/Jd7G3C/seasonic-focus-sgx-2021-750-w-80-gold-certified-fully-modular-sfx-power-supply-focus-sgx-750,3,0,Black,2,80+ Gold,FALSE,100,Seasonic,Full,0,0,4,0,0,FOCUS SGX-750,6,SFX,750
Super Flower Leadex Platinum Se 1200 W 80+ Platinum Certified Fully Modular Atx,https://pcpartpicker.com/product/Ctnypg/super-flower-leadex-platinum-se-1200-w-80-platinum-certified-fully-modular-atx-power-supply-sf-1200f14mp-v2,5,0,Black,2,80+ Platinum,FALSE,180,Super Flower,Full,0,0,8,0,0,SF-1200F14MP V2,12,ATX,1200
Gigabyte Ud-Gm Pg5 750 W 80+ Gold Certified Fully Modular Atx,https://pcpartpicker.com/product/YDTZxr/gigabyte-ud-gm-pg5-750-w-80-gold-certified-fully-modular-atx-power-supply-gp-ud750gm-pg5,3,0,Black,2,80+ Gold,FALSE,140,Gigabyte,Full,0,1,4,0,0,GP-UD750GM PG5,8,ATX,750
Ultra X4 750 W 80+ Bronze Certified Fully Modular Atx,https://pcpartpicker.com/product/Yt648d/ultra-x4-750-w-80-bronze-certified-fully-modular-atx-power-supply-u12-41562,9,1,Black,1,80+ Bronze,FALSE,,Ultra,Full,0,0,0,2,2,U12-41562,11,ATX,750
Gamemax Rgb Rainbow 1050 W 80+ Gold Certified Fully Modular Atx,https://pcpartpicker.com/product/s3tKHx/gamemax-rgb-rainbow-1050-w-80-gold-certified-fully-modular-atx-power-supply-rgb-1050,3,0,Black,2,80+ Gold,FALSE,165,Gamemax,Full,0,0,4,0,0,RGB-1050,10,ATX,1050
Be Quiet! Dark Power Pro 13 1600 W 80+ Titanium Certified Fully Modular Atx,https://pcpartpicker.com/product/Hxgrxr/be-quiet-dark-power-pro-13-1600-w-80-titanium-certified-fully-modular-atx-power-supply-bn501,5,0,Black,2,80+ Titanium,FALSE,200,Be Quiet!,Full,0,2,6,0,0,BN501,16,ATX,1600
Be Quiet! System Power 10 650 W 80+ Bronze Certified Atx,https://pcpartpicker.com/product/ZcWzK8/be-quiet-system-power-10-650-w-80-bronze-certified-atx-power-supply-bn328,1,1,Black,1,80+ Bronze,FALSE,140,Be Quiet!,No,0,0,4,0,0,BN328,5,ATX,650
Msi Mag A650Gl 650 W 80+ Gold Certified Fully Modular Atx,https://pcpartpicker.com/product/xfV2FT/msi-mag-a650gl-650-w-80-gold-certified-fully-modular-atx-power-supply-mag-a650gl,4,0,Black,2,80+ Gold,FALSE,140,Msi,Full,0,0,4,0,0,MAG A650GL,6,ATX,650
Msi Mag A1000Gl Pcie5 1000 W 80+ Gold Certified Fully Modular Atx,https://pcpartpicker.com/product/gR9wrH/msi-mag-a1000gl-pcie5-1000-w-80-gold-certified-fully-modular-atx-power-supply-mag-a1000gl-pcie5,4,0,Black,2,80+ Gold,FALSE,150,Msi,Full,0,1,4,0,0,MAG A1000GL PCIE5,12,ATX,1000
Thermalright Tg 750 W 80+ Gold Certified Fully Modular Atx,https://pcpartpicker.com/product/m4P8TW/thermalright-tg-750-w-80-gold-certified-fully-modular-atx-power-supply-tg-750-w,3,0,White,1,80+ Gold,FALSE,140,Thermalright,Full,0,1,4,0,0,TG-750-W,8,ATX,750
Segotep Gm 750 W 80+ Gold Certified Fully Modular Atx,https://pcpartpicker.com/product/6Pn9TW/segotep-gm-750-w-80-gold-certified-fully-modular-atx-power-supply-cp-psu-st-gm750,3,0,Black,2,80+ Gold,FALSE,140,Segotep,Full,0,1,4,0,0,CP-PSU-ST-GM750,8,ATX,750
Adata Xpg Core Reactor Ii 750 W 80+ Gold Certified Fully Modular Atx,https://pcpartpicker.com/product/zfGhP6/adata-xpg-core-reactor-ii-750-w-80-gold-certified-fully-modular-atx-power-supply-corereactorii750g-bkcus,4,0,Black,2,80+ Gold,FALSE,140,Adata,Full,0,1,6,0,0,COREREACTORII750G-BKCUS,8,ATX,750
Thermaltake Tr2 S 700 W 80+ Certified Atx,https://pcpartpicker.com/product/mMwmP6/thermaltake-tr2-s-700-w-80-certified-atx-power-supply-ps-trs-0700npcweu-2,5,0,Black,1,80+,FALSE,140,Thermaltake,No,0,0,2,0,0,PS-TRS-0700NPCWEU-2,6,ATX,700
Seasonic G12 Gc 650 W 80+ Gold Certified Atx,https://pcpartpicker.com/product/QCqrxr/seasonic-g12-gc-650-w-80-gold-certified-atx-power-supply-g12-gc-650,3,0,Black / Blue,2,80+ Gold,FALSE,140,Seasonic,No,0,0,2,0,0,G12-GC-650,6,ATX,650
